0,基于交叉图学习的多源异构信息交互与传播技术,多源异构数据采集模块,400000
1,基于交叉图学习的多源异构信息交互与传播技术,数据清洗整合模块,300000
2,基于交叉图学习的多源异构信息交互与传播技术,智能态势分析算法模块,400000
3,基于交叉图学习的多源异构信息交互与传播技术,分析系统开发,300000
4,基于交叉图学习的多源异构信息交互与传播技术,,
5,数据处理与标注,海洋环境数据采集系统,500000
6,数据处理与标注,数据标注,300000
7,数据处理与标注,自适应策略生成算法,600000
8,数据处理与标注,系统集成,200000
9,数据处理与标注,数据更新服务,400000
10,多层次多粒度水下复杂环境图联邦建模核心技术,多源水下数据采集,100000
11,多层次多粒度水下复杂环境图联邦建模核心技术,数据标注及验证,100000
12,多层次多粒度水下复杂环境图联邦建模核心技术,环境模型构建,200000
13,多层次多粒度水下复杂环境图联邦建模核心技术,仿真环境建立,300000
14,多层次多粒度水下复杂环境图联邦建模核心技术,系统集成,100000
15,深海作战知识图均衡优化技术,小样本数据集构建,500000
16,深海作战知识图均衡优化技术,知识图谱子系统,800000
17,深海作战知识图均衡优化技术,图神经网络模型,1000000
18,深海作战知识图均衡优化技术,模型压缩与推理优化,400000
19,深海作战知识图均衡优化技术,系统集成,300000
20,多智能体知识图在线更新技术,多源异构数据融合模块,500000
21,多智能体知识图在线更新技术,小样本学习模块,500000
22,多智能体知识图在线更新技术,超高维数据分析模块,1000000
23,多智能体知识图在线更新技术,数据关联分析模块,800000
24,多智能体知识图在线更新技术,异常识别模块,400000
25,多目标优化信息簇协调技术,多源异构数据采集模块,150000
26,多目标优化信息簇协调技术,多目标优化信息簇协调算法,200000
27,多目标优化信息簇协调技术,信息簇协同框架开发,400000
28,多目标优化信息簇协调技术,系统集成,100000
29,多目标优化信息簇协调技术,,
30,弱通信条件下基于信息簇优化的资源分配调度技术,弱通信环境数据模拟,150000
31,弱通信条件下基于信息簇优化的资源分配调度技术,资源调度优化算法,250000
32,弱通信条件下基于信息簇优化的资源分配调度技术,信息簇协同框架开发,200000
33,弱通信条件下基于信息簇优化的资源分配调度技术,资源分配模块,200000
34,弱通信条件下基于信息簇优化的资源分配调度技术,,
35,信息簇和集群联合协调交互推理技术,信息簇协同数据采集,300000
36,信息簇和集群联合协调交互推理技术,集群联合协调交互推理模块,300000
37,信息簇和集群联合协调交互推理技术,仿真环境构建与验证,400000
38,信息簇和集群联合协调交互推理技术,,
39,信息簇和集群联合协调交互推理技术,,
40,水下知识图构建功能开发,水下环境数据采集模块,200000
41,水下知识图构建功能开发,知识图谱子系统,250000
42,水下知识图构建功能开发,集群协同算法模块,250000
43,水下知识图构建功能开发,系统集成,100000
44,水下知识图构建功能开发,,
45,水下集群协同优化功能开发,水下作战环境数据采集,30万
46,水下集群协同优化功能开发,集群协同优化模块,40万
47,水下集群协同优化功能开发,系统集成,10万
48,水下集群协同优化功能开发,,
49,水下集群协同优化功能开发,,
50,水下集群行动默契策略生成工具开发,水下作战环境数据采集,200000
51,水下集群行动默契策略生成工具开发,默契策略生成模块,300000
52,水下集群行动默契策略生成工具开发,信息资源分配,200000
53,水下集群行动默契策略生成工具开发,定制系统开发,100000
54,水下集群行动默契策略生成工具开发,,
55,协同策略生成工具集成开发,深海战场模拟器,300000
56,协同策略生成工具集成开发,默契策略生成模块,300000
57,协同策略生成工具集成开发,模型部署模块,200000
58,协同策略生成工具集成开发,数据标注模块,200000
59,协同策略生成工具集成开发,,
60,协同策略生成工具软件迭代,系统升级模块,200000
61,协同策略生成工具软件迭代,模型升级模块,150000
62,协同策略生成工具软件迭代,私有网络支持模块,50000
63,协同策略生成工具软件迭代,,
64,协同策略生成工具软件迭代,,
